rep,kol,n,auroc,prauc,brier,egim
0,direct,0,0.5989,0.1724,0.1168,0.1007
0,calib,50,0.599,0.1724,0.092,0.3428
0,adapter,50,0.5983,0.1839,0.1451,0.0649
0,fullft,50,0.5985,0.1873,0.1829,0.082
0,local,50,0.5832,0.1535,0.2378,0.1036
0,calib,100,0.599,0.1724,0.0882,1.7758
0,adapter,100,0.4656,0.0993,0.1448,-0.0264
0,fullft,100,0.6056,0.1578,0.2416,0.0799
0,local,100,0.5428,0.1064,0.1229,0.0686
0,calib,200,0.599,0.1724,0.0876,0.7472
0,adapter,200,0.5812,0.1749,0.1328,0.0655
0,fullft,200,0.5984,0.1916,0.2017,0.0875
0,local,200,0.588,0.1778,0.1113,0.245
0,calib,500,0.599,0.1724,0.0876,0.7128
0,adapter,500,0.582,0.1771,0.1289,0.0683
0,fullft,500,0.5995,0.1873,0.1716,0.0979
0,local,500,0.6227,0.2022,0.1105,0.2928
1,direct,0,0.6283,0.2156,0.1128,0.1247
1,calib,50,0.6285,0.2156,0.0869,0.5718
1,adapter,50,0.538,0.119,0.1136,0.0285
1,fullft,50,0.6246,0.1856,0.1725,0.098
1,local,50,0.4474,0.0922,0.2023,-0.0073
1,calib,100,0.6285,0.2156,0.0876,1.5429
1,adapter,100,0.6672,0.2236,0.1161,0.1472
1,fullft,100,0.657,0.218,0.1726,0.1312
1,local,100,0.5959,0.1386,0.0973,0.2432
1,calib,200,0.6285,0.2156,0.0884,4.3421
1,adapter,200,0.5919,0.2126,0.1265,0.0731
1,fullft,200,0.6307,0.1874,0.1931,0.1164
1,local,200,0.5405,0.1164,0.107,0.1159
1,calib,500,0.6285,0.2156,0.0867,0.874
1,adapter,500,0.5994,0.2505,0.1416,0.0951
1,fullft,500,0.6554,0.2253,0.165,0.1414
1,local,500,0.5986,0.1582,0.132,0.2283
2,direct,0,0.6346,0.2412,0.1213,0.1268
2,calib,25,0.6348,0.2412,0.0894,12.4953
2,adapter,25,0.6384,0.2133,0.1903,0.1292
2,fullft,25,0.6216,0.2072,0.2553,0.0991
2,local,25,0.5554,0.1316,0.1107,0.0465
2,calib,50,0.6348,0.2412,0.0881,0.4818
2,adapter,50,0.6337,0.2623,0.142,0.0785
2,fullft,50,0.625,0.2304,0.1603,0.1086
2,local,50,0.5967,0.1776,0.1162,0.1229
2,calib,100,0.6348,0.2412,0.0863,1.1328
2,adapter,100,0.582,0.2062,0.1287,0.0712
2,fullft,100,0.5869,0.2221,0.1506,0.0982
2,local,100,0.6002,0.1328,0.0952,0.1352
2,calib,200,0.6348,0.2412,0.0852,0.6873
2,adapter,200,0.5586,0.258,0.125,0.0769
2,fullft,200,0.616,0.2424,0.17,0.1115
2,local,200,0.587,0.1648,0.1205,0.2563
2,calib,500,0.6348,0.2412,0.0853,0.9596
2,adapter,500,0.6103,0.1822,0.1493,0.0833
2,fullft,500,0.6372,0.2138,0.1548,0.1284
2,local,500,0.5659,0.2046,0.1037,0.2537
3,direct,0,0.6186,0.1864,0.1161,0.1066
3,calib,50,0.6187,0.1864,0.0882,0.7516
3,adapter,50,0.5846,0.151,0.17,0.0457
3,fullft,50,0.6046,0.1686,0.2357,0.0744
3,local,50,0.4489,0.094,0.2724,-0.0627
3,calib,100,0.6187,0.1864,0.0882,2.5905
3,adapter,100,0.6447,0.1992,0.1415,0.0885
3,fullft,100,0.6561,0.2283,0.2158,0.119
3,local,100,0.6357,0.1605,0.1229,0.2571
3,calib,200,0.6187,0.1864,0.0875,0.6902
3,adapter,200,0.6243,0.1868,0.1283,0.0882
3,fullft,200,0.6129,0.1838,0.1502,0.108
3,local,200,0.5936,0.1333,0.1141,0.2158
3,calib,500,0.6187,0.1864,0.0878,0.8468
3,adapter,500,0.5816,0.1439,0.167,0.0538
3,fullft,500,0.622,0.22,0.1626,0.1166
3,local,500,0.6001,0.1844,0.1214,0.2342
4,direct,0,0.6445,0.2299,0.1095,0.1355
4,calib,25,0.6445,0.2299,0.0908,0.367
4,adapter,25,0.6442,0.2138,0.1055,0.108
4,fullft,25,0.636,0.232,0.1509,0.1303
4,local,25,0.622,0.1651,0.1434,0.0867
4,calib,50,0.6445,0.2299,0.0879,0.8963
4,adapter,50,0.5863,0.196,0.1414,0.0666
4,fullft,50,0.6319,0.2064,0.1719,0.1095
4,local,50,0.632,0.1911,0.1063,0.1525
4,calib,100,0.6445,0.2299,0.0861,1.5013
4,adapter,100,0.6264,0.2156,0.1129,0.1111
4,fullft,100,0.6474,0.2008,0.191,0.1252
4,local,100,0.5654,0.1391,0.1319,0.1843
4,calib,200,0.6445,0.2299,0.0872,0.7621
4,adapter,200,0.6321,0.2118,0.1489,0.0885
4,fullft,200,0.6569,0.2523,0.1746,0.1369
4,local,200,0.5747,0.1675,0.1122,0.174
4,calib,500,0.6445,0.2299,0.0858,1.2804
4,adapter,500,0.6394,0.2715,0.127,0.1153
4,fullft,500,0.6385,0.2327,0.1529,0.1426
4,local,500,0.6276,0.203,0.1115,0.3103
