scenario,budget_fraction,n_reps,delta_auroc_vs_source_mean,delta_auroc_vs_source_ci_low,delta_auroc_vs_source_ci_high,delta_prauc_vs_source_mean,delta_prauc_vs_source_ci_low,delta_prauc_vs_source_ci_high,delta_brier_vs_source_mean,delta_brier_vs_source_ci_low,delta_brier_vs_source_ci_high
source_plus_target,0.01,20,0.0010586310405992006,-0.01053664724296337,0.01301855573356037,0.006843649276273437,-0.00925712139736845,0.024640062555819287,-0.00025021176639813405,-0.0015327220653359361,0.0009695568839364251
source_plus_target,0.025,20,-0.002074042968964451,-0.016296341941084348,0.012354369078593413,0.005901571085645722,-0.010890279293722703,0.021716799910010243,-0.0010321490935614713,-0.002105365670361065,0.00021481749538365975
source_plus_target,0.05,20,0.007173384586189635,-0.005978821733218544,0.01931507362108956,0.010792535675823488,-0.002300199292924131,0.023458819861714556,-0.0021802628844456292,-0.0030743319121480186,-0.0012636961761890205
source_plus_target,0.1,20,6.13999181334035e-05,-0.011915143039068585,0.013199873298955596,0.0013584655738645263,-0.012427263069393199,0.015097083250062182,-0.00316491837979814,-0.0042016532950744515,-0.0021738235859291733
source_plus_target,0.2,20,0.009663919745680417,-0.005155550282063268,0.026112487904294504,0.026769241276833066,0.012149094533781551,0.04111300561495138,-0.004592137883549676,-0.005766743259975132,-0.0034565705047655735
source_plus_target,0.5,20,0.030464337861087154,0.01551956534268678,0.04474358888402703,0.04667926932196871,0.0295485876690413,0.06394499936837891,-0.005462177027392176,-0.006473030178339096,-0.004438894357149889
source_plus_target,1.0,20,0.04606819390141194,0.029854151571539884,0.06232825068653416,0.08324178109949423,0.06592660780904197,0.10180785440870999,-0.00595968855512565,-0.007066795441778336,-0.004787825179398263
target_only,0.01,20,-0.1918934072328006,-0.21282753415811537,-0.17149091489014676,-0.1312619434478184,-0.1568005157890712,-0.10648061788145895,0.02630588324779647,0.017945039115786193,0.03795977794106251
target_only,0.025,20,-0.1918934072328006,-0.21282753415811537,-0.17149091489014676,-0.1312619434478184,-0.1568005157890712,-0.10648061788145895,0.03601455533451735,0.025564301436210357,0.048352217960965733
target_only,0.05,20,-0.1918934072328006,-0.21282753415811537,-0.17149091489014676,-0.1312619434478184,-0.1568005157890712,-0.10648061788145895,0.004535783880136132,0.00040096377141429887,0.009112683920417478
target_only,0.1,20,-0.1918934072328006,-0.21282753415811537,-0.17149091489014676,-0.1312619434478184,-0.1568005157890712,-0.10648061788145895,-0.0012119793742190882,-0.0034935245419728156,0.0010397430585683519
target_only,0.2,20,-0.15836057905690354,-0.19665027835805796,-0.1213791575311744,-0.10426442311374513,-0.1346363220162806,-0.0755087397635307,-0.00032390093733344547,-0.0022060602400759497,0.001443345825629353
target_only,0.5,20,-0.10559040765467997,-0.14772883820062957,-0.06219583486245014,-0.07465344178079857,-0.10825666810947285,-0.04193313338868294,-0.00037373363638822305,-0.0022363381732667053,0.0013825620318344716
target_only,1.0,20,-0.09205761084528008,-0.11510821000418747,-0.06976525333151415,-0.07166212403911283,-0.10097279970948793,-0.04426196318158094,-0.0003474742952574359,-0.002213380398977829,0.0014028371850821099
