rep,scenario,budget_fraction,adapt_n,adapt_pos,test_n,test_pos,auroc,prauc,brier,slope,n,positives,prevalence
0,source_only,0.0,0,0,369,21,0.6663929939792009,0.11675772051539363,0.06416335167694102,0.26620783038437384,369,21,0.056910569105691054
0,target_only,0.01,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
0,source_plus_target,0.01,10,2,369,21,0.6472359058565955,0.11584852585233907,0.06040640058187155,0.25695217886563404,369,21,0.056910569105691054
0,target_only,0.025,10,3,369,21,0.5,0.056910569105691054,0.11276422764227646,1.3845122570631951,369,21,0.056910569105691054
0,source_plus_target,0.025,10,3,369,21,0.6161740558292282,0.1401399678519818,0.06391188461150989,0.20489626051073337,369,21,0.056910569105691054
0,target_only,0.05,18,2,369,21,0.5,0.056910569105691054,0.05660945498343874,1.096527438594909,369,21,0.056910569105691054
0,source_plus_target,0.05,18,2,369,21,0.6012588943623426,0.11605863419730905,0.061743235635124426,0.20224330109490815,369,21,0.056910569105691054
0,target_only,0.1,37,2,369,21,0.5,0.056910569105691054,0.05367991590799766,0.8742381905362188,369,21,0.056910569105691054
0,source_plus_target,0.1,37,2,369,21,0.6232895457033387,0.1181401463940234,0.06023117849669489,0.21980172456988423,369,21,0.056910569105691054
0,target_only,0.2,74,3,369,21,0.5900383141762453,0.09182444435113239,0.05689721143562135,0.2743725224360986,369,21,0.056910569105691054
0,source_plus_target,0.2,74,3,369,21,0.6392993979200876,0.12500782609471883,0.061072102502348576,0.2411209181577112,369,21,0.056910569105691054
0,target_only,0.5,184,12,369,21,0.598111658456486,0.0848395434689489,0.05689590031028256,0.20375901554033446,369,21,0.056910569105691054
0,source_plus_target,0.5,184,12,369,21,0.6776135741652983,0.13108038276954004,0.057544297779804465,0.30999895391311755,369,21,0.056910569105691054
0,target_only,1.0,369,20,369,21,0.5975643130815544,0.10783228810972363,0.05689737967183069,0.2734995514309659,369,21,0.056910569105691054
0,source_plus_target,1.0,369,20,369,21,0.6639299397920088,0.13051539487735206,0.05780977340644083,0.30234672980863164,369,21,0.056910569105691054
1,source_only,0.0,0,0,369,21,0.636152162014231,0.1403547416386408,0.05877274411200296,0.2696957509639076,369,21,0.056910569105691054
1,target_only,0.01,10,3,369,21,0.5,0.056910569105691054,0.11276422764227646,1.3845122570631951,369,21,0.056910569105691054
1,source_plus_target,0.01,10,3,369,21,0.6829501915708812,0.17380058639622922,0.059447870805418294,0.327978863749227,369,21,0.056910569105691054
1,target_only,0.025,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
1,source_plus_target,0.025,10,2,369,21,0.6112479474548439,0.17416311744892807,0.05772521962955522,0.24717060308500235,369,21,0.056910569105691054
1,target_only,0.05,18,2,369,21,0.5,0.056910569105691054,0.05660945498343874,1.0965274385949093,369,21,0.056910569105691054
1,source_plus_target,0.05,18,2,369,21,0.6906130268199233,0.1599420819857776,0.05623522776008265,0.35347505175522503,369,21,0.056910569105691054
1,target_only,0.1,37,3,369,21,0.5,0.056910569105691054,0.05425596987890989,0.988579728457834,369,21,0.056910569105691054
1,source_plus_target,0.1,37,3,369,21,0.6952654625068417,0.17262860170282915,0.05626322947196738,0.3651781250204868,369,21,0.056910569105691054
1,target_only,0.2,74,8,369,21,0.4605911330049261,0.06122522693102908,0.056995581082127836,-0.06152763559186614,369,21,0.056910569105691054
1,source_plus_target,0.2,74,8,369,21,0.7482211275314723,0.21184075755591278,0.05311759036974689,0.465063907472044,369,21,0.056910569105691054
1,target_only,0.5,184,7,369,21,0.41379310344827586,0.06914735683415607,0.05688919630918037,-0.14420172793216904,369,21,0.056910569105691054
1,source_plus_target,0.5,184,7,369,21,0.7038861521620142,0.2089159675836044,0.0534232967014663,0.4218782502486114,369,21,0.056910569105691054
1,target_only,1.0,369,20,369,21,0.48316912972085385,0.07292392668459802,0.056898441309491336,-0.007579027210984315,369,21,0.056910569105691054
