site,species,drug,n,n_direncli,direnc_orani,n_tur_toplam,eksiklik_orani
DRIAMS-A,Escherichia coli,Ceftriaxone,4961,1086.0,0.21890747833098165,7320,0.3222677595628415
DRIAMS-A,Escherichia coli,Ciprofloxacin,4911,1466.0,0.29851354103034006,7320,0.3290983606557377
DRIAMS-A,Escherichia coli,Cefepime,4890,839.0,0.17157464212678936,7320,0.3319672131147541
DRIAMS-A,Escherichia coli,Cotrimoxazole,4888,1595.0,0.3263093289689034,7320,0.33224043715846996
DRIAMS-A,Escherichia coli,Tobramycin,4876,636.0,0.13043478260869565,7320,0.333879781420765
DRIAMS-A,Escherichia coli,Ampicillin-Amoxicillin,4866,2913.0,0.5986436498150431,7320,0.3352459016393443
DRIAMS-A,Escherichia coli,Amikacin,4858,331.0,0.06813503499382462,7320,0.3363387978142076
DRIAMS-A,Escherichia coli,Levofloxacin,4858,1443.0,0.29703581720872785,7320,0.3363387978142076
DRIAMS-A,Escherichia coli,Amoxicillin-Clavulanic acid,4826,1177.0,0.24388727724823872,7320,0.34071038251366115
DRIAMS-A,Escherichia coli,Ceftazidime,4822,871.0,0.18063044379925342,7320,0.3412568306010929
DRIAMS-A,Escherichia coli,Piperacillin-Tazobactam,4799,350.0,0.07293186080433424,7320,0.34439890710382515
DRIAMS-A,Staphylococcus epidermidis,Rifampicin,4758,436.0,0.09163514081546868,9387,0.49312879514221797
DRIAMS-A,Staphylococcus epidermidis,Ciprofloxacin,4679,2687.0,0.5742680059841847,9387,0.5015446894641525
DRIAMS-A,Staphylococcus epidermidis,Oxacillin,4664,3324.0,0.7126929674099486,9387,0.5031426440822414
DRIAMS-A,Staphylococcus epidermidis,Fusidic acid,4589,2407.0,0.5245151449117454,9387,0.5111324171726856
DRIAMS-A,Staphylococcus epidermidis,Cotrimoxazole,4545,1565.0,0.34433443344334436,9387,0.5158197507190796
DRIAMS-A,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,4262,3006.0,0.7053026748005631,9387,0.5459678278470225
DRIAMS-A,Staphylococcus epidermidis,Cefazolin,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Cefepime,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Ceftriaxone,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Cefuroxime,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Imipenem,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Meropenem,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Piperacillin-Tazobactam,4261,3006.0,0.7054681999530626,9387,0.546074358154895
DRIAMS-A,Staphylococcus epidermidis,Erythromycin,4232,2591.0,0.6122400756143668,9387,0.5491637370832001
DRIAMS-A,Staphylococcus epidermidis,Gentamicin,4221,1863.0,0.44136460554371004,9387,0.5503355704697986
DRIAMS-A,Staphylococcus epidermidis,Clindamycin,4192,2125.0,0.5069179389312977,9387,0.5534249493981038
DRIAMS-A,Staphylococcus epidermidis,Tetracycline,4132,2329.0,0.563649564375605,9387,0.5598167678704591
DRIAMS-A,Staphylococcus aureus,Oxacillin,3790,726.0,0.19155672823218997,6994,0.4581069488132685
DRIAMS-A,Staphylococcus aureus,Fusidic acid,3766,253.0,0.06718003186404674,6994,0.46153846153846156
DRIAMS-A,Staphylococcus aureus,Ciprofloxacin,3757,616.0,0.16396060686718125,6994,0.4628252788104089
DRIAMS-A,Staphylococcus aureus,Meropenem,3643,712.0,0.19544331594839418,6994,0.4791249642550758
DRIAMS-A,Staphylococcus aureus,Amoxicillin-Clavulanic acid,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Cefazolin,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Cefepime,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Ceftriaxone,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Cefuroxime,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Imipenem,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Piperacillin-Tazobactam,3640,712.0,0.1956043956043956,6994,0.4795539033457249
DRIAMS-A,Staphylococcus aureus,Tetracycline,3609,272.0,0.07536713771127736,6994,0.4839862739490992
DRIAMS-A,Staphylococcus aureus,Erythromycin,3598,650.0,0.18065591995553085,6994,0.48555905061481275
DRIAMS-A,Staphylococcus aureus,Clindamycin,3575,519.0,0.14517482517482516,6994,0.48884758364312264
DRIAMS-A,Staphylococcus aureus,Ampicillin-Amoxicillin,3556,2614.0,0.7350956130483689,6994,0.4915641978839005
DRIAMS-A,Staphylococcus aureus,Penicillin,3553,2611.0,0.7348719392063046,6994,0.4919931369745496
DRIAMS-A,Pseudomonas aeruginosa,Tobramycin,3231,250.0,0.0773754255648406,4852,0.33408903544929924
DRIAMS-A,Pseudomonas aeruginosa,Meropenem,3183,503.0,0.15802701853597234,4852,0.34398186314921686
DRIAMS-A,Pseudomonas aeruginosa,Ciprofloxacin,3153,645.0,0.20456707897240722,4852,0.3501648804616653
DRIAMS-A,Pseudomonas aeruginosa,Piperacillin-Tazobactam,3152,598.0,0.18972081218274112,4852,0.35037098103874686
DRIAMS-A,Pseudomonas aeruginosa,Cefepime,3088,550.0,0.17810880829015543,4852,0.3635614179719703
DRIAMS-A,Klebsiella pneumoniae,Ceftriaxone,2860,449.0,0.156993006993007,3921,0.27059423616424383
DRIAMS-A,Klebsiella pneumoniae,Cotrimoxazole,2854,606.0,0.212333566923616,3921,0.2721244580464167
DRIAMS-A,Klebsiella pneumoniae,Tobramycin,2846,319.0,0.11208713984539705,3921,0.27416475388931394
DRIAMS-A,Klebsiella pneumoniae,Amoxicillin-Clavulanic acid,2840,537.0,0.18908450704225352,3921,0.2756949757714868
DRIAMS-A,Klebsiella pneumoniae,Cefepime,2839,362.0,0.12750968650933428,3921,0.27595001275184905
DRIAMS-A,Klebsiella pneumoniae,Ciprofloxacin,2838,513.0,0.18076109936575052,3921,0.27620504973221116
DRIAMS-A,Klebsiella pneumoniae,Ceftazidime,2832,430.0,0.1518361581920904,3921,0.27773527161438405
DRIAMS-A,Klebsiella pneumoniae,Levofloxacin,2830,509.0,0.17985865724381625,3921,0.2782453455751084
DRIAMS-A,Klebsiella pneumoniae,Piperacillin-Tazobactam,2759,404.0,0.14642986589343965,3921,0.29635297118082127
DRIAMS-A,Pseudomonas aeruginosa,Ceftazidime,2459,232.0,0.09434729564863766,4852,0.4931986809563067
DRIAMS-A,Pseudomonas aeruginosa,Imipenem,2377,339.0,0.1426167437946992,4852,0.5100989282769992
DRIAMS-A,Pseudomonas aeruginosa,Amikacin,2372,164.0,0.06913996627318718,4852,0.5111294311624073
DRIAMS-A,Pseudomonas aeruginosa,Levofloxacin,2356,325.0,0.13794567062818336,4852,0.5144270403957132
DRIAMS-A,Escherichia coli,Cefpodoxime,2075,874.0,0.42120481927710846,7320,0.7165300546448088
DRIAMS-A,Klebsiella pneumoniae,Cefpodoxime,1826,236.0,0.12924424972617743,3921,0.5343024738587094
DRIAMS-A,Klebsiella pneumoniae,Norfloxacin,1814,285.0,0.15711135611907387,3921,0.5373629176230553
DRIAMS-A,Klebsiella pneumoniae,Fosfomycin-Trometamol,1809,461.0,0.25483692647871753,3921,0.5386381025248661
DRIAMS-A,Escherichia coli,Norfloxacin,1488,390.0,0.2620967741935484,7320,0.7967213114754098
DRIAMS-A,Enterobacter cloacae,Ciprofloxacin,1265,71.0,0.05612648221343874,1987,0.36336185203824867
DRIAMS-A,Enterobacter cloacae,Cotrimoxazole,1257,102.0,0.081145584725537,1987,0.3673880221439356
DRIAMS-A,Enterobacter cloacae,Levofloxacin,1256,71.0,0.05652866242038217,1987,0.36789129340714644
DRIAMS-A,Enterobacter cloacae,Ceftriaxone,1249,366.0,0.2930344275420336,1987,0.3714141922496226
DRIAMS-A,Enterobacter cloacae,Ertapenem,1249,116.0,0.09287429943955164,1987,0.3714141922496226
DRIAMS-A,Enterobacter cloacae,Cefepime,1241,154.0,0.12409347300564061,1987,0.37544036235530953
DRIAMS-A,Enterobacter cloacae,Ceftazidime,1234,352.0,0.2852512155591572,1987,0.37896326119778556
DRIAMS-A,Enterobacter cloacae,Piperacillin-Tazobactam,1223,312.0,0.25511038430089944,1987,0.3844992450931052
DRIAMS-A,Enterococcus faecium,Vancomycin,1183,96.0,0.08114961961115807,1751,0.32438606510565393
DRIAMS-A,Enterococcus faecium,Imipenem,1164,1098.0,0.9432989690721649,1751,0.33523700742432894
DRIAMS-A,Enterococcus faecium,Levofloxacin,1133,920.0,0.8120035304501324,1751,0.3529411764705882
DRIAMS-A,Enterococcus faecium,Ampicillin-Amoxicillin,1112,1052.0,0.9460431654676259,1751,0.36493432324386066
DRIAMS-A,Proteus mirabilis,Cotrimoxazole,915,266.0,0.2907103825136612,2094,0.5630372492836676
DRIAMS-A,Proteus mirabilis,Amoxicillin-Clavulanic acid,913,76.0,0.0832420591456736,2094,0.563992359121299
DRIAMS-A,Proteus mirabilis,Ciprofloxacin,913,114.0,0.1248630887185104,2094,0.563992359121299
DRIAMS-A,Proteus mirabilis,Ampicillin-Amoxicillin,912,255.0,0.27960526315789475,2094,0.5644699140401146
DRIAMS-A,Proteus mirabilis,Tobramycin,912,70.0,0.07675438596491228,2094,0.5644699140401146
DRIAMS-A,Proteus mirabilis,Levofloxacin,908,113.0,0.12444933920704845,2094,0.5663801337153773
DRIAMS-A,Serratia marcescens,Amikacin,857,171.0,0.19953325554259044,1219,0.2969647251845775
DRIAMS-A,Serratia marcescens,Tobramycin,855,169.0,0.1976608187134503,1219,0.2986054142739951
DRIAMS-A,Proteus mirabilis,Imipenem,778,567.0,0.7287917737789203,2094,0.6284622731614136
DRIAMS-A,Enterococcus faecalis,Levofloxacin,770,75.0,0.09740259740259741,4418,0.82571299230421
DRIAMS-A,Pseudomonas aeruginosa,Aztreonam,763,551.0,0.7221494102228048,4852,0.8427452596867271
DRIAMS-A,Klebsiella oxytoca,Ceftriaxone,714,50.0,0.0700280112044818,1088,0.34375
DRIAMS-A,Klebsiella oxytoca,Amoxicillin-Clavulanic acid,713,76.0,0.10659186535764376,1088,0.3446691176470589
DRIAMS-A,Staphylococcus hominis,Cotrimoxazole,707,40.0,0.056577086280056574,1313,0.46153846153846156
DRIAMS-A,Staphylococcus hominis,Ciprofloxacin,700,91.0,0.13,1313,0.4668697638994669
DRIAMS-A,Klebsiella oxytoca,Piperacillin-Tazobactam,692,61.0,0.08815028901734104,1088,0.36397058823529416
DRIAMS-A,Staphylococcus hominis,Fusidic acid,692,345.0,0.4985549132947977,1313,0.47296268088347293
DRIAMS-A,Staphylococcus hominis,Clindamycin,685,194.0,0.2832116788321168,1313,0.47829398324447825
DRIAMS-A,Staphylococcus hominis,Erythromycin,685,387.0,0.564963503649635,1313,0.47829398324447825
DRIAMS-A,Staphylococcus hominis,Oxacillin,685,225.0,0.3284671532846715,1313,0.47829398324447825
DRIAMS-A,Staphylococcus hominis,Gentamicin,683,66.0,0.09663250366032211,1313,0.4798172124904798
DRIAMS-A,Staphylococcus hominis,Tetracycline,670,228.0,0.3402985074626866,1313,0.4897182025894897
DRIAMS-A,Staphylococcus hominis,Amoxicillin-Clavulanic acid,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Cefazolin,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Cefepime,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Ceftriaxone,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Cefuroxime,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Imipenem,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Meropenem,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus hominis,Piperacillin-Tazobactam,668,223.0,0.3338323353293413,1313,0.4912414318354913
DRIAMS-A,Staphylococcus epidermidis,Teicoplanin,488,118.0,0.24180327868852458,9387,0.9480132097581762
DRIAMS-A,Proteus mirabilis,Fosfomycin-Trometamol,465,88.0,0.18924731182795698,2094,0.7779369627507163
DRIAMS-A,Enterococcus faecium,Nitrofurantoin,464,358.0,0.771551724137931,1751,0.7350085665334094
DRIAMS-A,Proteus mirabilis,Norfloxacin,461,71.0,0.1540130151843818,2094,0.779847182425979
DRIAMS-A,Enterobacter cloacae,Fosfomycin-Trometamol,443,242.0,0.54627539503386,1987,0.7770508303975843
DRIAMS-A,Enterobacter cloacae,Norfloxacin,443,42.0,0.09480812641083522,1987,0.7770508303975843
DRIAMS-A,Citrobacter freundii,Cotrimoxazole,406,30.0,0.07389162561576355,980,0.5857142857142856
DRIAMS-A,Citrobacter freundii,Ceftriaxone,404,133.0,0.3292079207920792,980,0.5877551020408163
DRIAMS-A,Citrobacter freundii,Amikacin,395,24.0,0.060759493670886074,980,0.596938775510204
DRIAMS-A,Citrobacter freundii,Tobramycin,395,30.0,0.0759493670886076,980,0.596938775510204
DRIAMS-A,Citrobacter freundii,Ceftazidime,390,122.0,0.3128205128205128,980,0.6020408163265306
DRIAMS-A,Citrobacter freundii,Piperacillin-Tazobactam,390,121.0,0.31025641025641026,980,0.6020408163265306
DRIAMS-A,Staphylococcus capitis,Ciprofloxacin,365,21.0,0.057534246575342465,794,0.5403022670025188
DRIAMS-A,Staphylococcus capitis,Fusidic acid,365,46.0,0.12602739726027398,794,0.5403022670025188
DRIAMS-A,Staphylococcus capitis,Oxacillin,365,73.0,0.2,794,0.5403022670025188
DRIAMS-A,Haemophilus influenzae,Penicillin,360,141.0,0.39166666666666666,779,0.5378690629011553
DRIAMS-A,Klebsiella variicola,Fosfomycin-Trometamol,356,76.0,0.21348314606741572,763,0.5334207077326343
DRIAMS-A,Morganella morganii,Ciprofloxacin,349,32.0,0.09169054441260745,1092,0.6804029304029304
DRIAMS-A,Morganella morganii,Cotrimoxazole,348,37.0,0.10632183908045977,1092,0.6813186813186813
DRIAMS-A,Haemophilus influenzae,Cefuroxime,347,159.0,0.45821325648414984,779,0.5545571245186136
DRIAMS-A,Morganella morganii,Ceftriaxone,347,54.0,0.15561959654178675,1092,0.6822344322344323
DRIAMS-A,Morganella morganii,Amikacin,345,19.0,0.05507246376811594,1092,0.6840659340659341
DRIAMS-A,Morganella morganii,Ceftazidime,345,60.0,0.17391304347826086,1092,0.6840659340659341
DRIAMS-A,Morganella morganii,Tobramycin,345,24.0,0.06956521739130435,1092,0.6840659340659341
DRIAMS-A,Morganella morganii,Levofloxacin,343,30.0,0.08746355685131195,1092,0.6858974358974359
DRIAMS-A,Klebsiella oxytoca,Cefpodoxime,328,24.0,0.07317073170731707,1088,0.6985294117647058
DRIAMS-A,Staphylococcus capitis,Erythromycin,328,36.0,0.10975609756097561,794,0.5869017632241813
DRIAMS-A,Klebsiella oxytoca,Fosfomycin-Trometamol,325,102.0,0.31384615384615383,1088,0.7012867647058824
DRIAMS-A,Staphylococcus capitis,Amoxicillin-Clavulanic acid,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Cefazolin,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Cefepime,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Ceftriaxone,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Cefuroxime,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Imipenem,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Meropenem,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Staphylococcus capitis,Piperacillin-Tazobactam,322,60.0,0.18633540372670807,794,0.5944584382871536
DRIAMS-A,Proteus vulgaris,Cotrimoxazole,321,24.0,0.07476635514018691,493,0.34888438133874244
DRIAMS-A,Proteus vulgaris,Amoxicillin-Clavulanic acid,320,24.0,0.075,493,0.3509127789046653
DRIAMS-A,Staphylococcus capitis,Gentamicin,319,21.0,0.06583072100313479,794,0.5982367758186398
DRIAMS-A,Staphylococcus capitis,Clindamycin,318,41.0,0.1289308176100629,794,0.5994962216624685
DRIAMS-A,Staphylococcus capitis,Tetracycline,318,45.0,0.14150943396226415,794,0.5994962216624685
DRIAMS-A,Staphylococcus lugdunensis,Clindamycin,305,41.0,0.13442622950819672,626,0.5127795527156549
DRIAMS-A,Staphylococcus lugdunensis,Penicillin,303,118.0,0.38943894389438943,626,0.5159744408945687
DRIAMS-A,Campylobacter jejuni,Ciprofloxacin,299,159.0,0.5317725752508361,378,0.20899470899470896
